country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guyana,69700000,80900000,68700000,49400000,38700000,48100000,59600000,70700000,95900000,108000000,99100000,85500000,60700000,34600000,47100000,36500000,74500000,36100000,77900000,75600000,61800000,121000000,59000000,35800000,23600000,25300000,48000000,43500000,38100000,63500000,230000000,175000000,92600000,123000000,90800000,83600000,108000000,285000000,94800000,73500000,84100000,87200000,62600000,71700000,110000000,110000000,138000000,78300000,113000000,107000000,99100000,90000000,107000000,92900000,133000000,32300000,71800000,51100000,97800000
Haiti,67700000,91500000,35400000,20800000,26200000,39400000,27800000,27500000,33800000,23700000,35500000,30100000,33900000,34100000,51000000,144000000,183000000,204000000,209000000,191000000,220000000,223000000,261000000,269000000,271000000,319000000,348000000,373000000,220000000,310000000,234000000,252000000,144000000,178000000,936000000,905000000,425000000,385000000,488000000,302000000,257000000,244000000,211000000,238000000,329000000,421000000,582000000,633000000,801000000,977000000,2850000000,1430000000,1210000000,1090000000,1010000000,1070000000,1090000000,981000000,958000000
Honduras,35500000,47500000,39200000,48000000,77000000,72600000,60200000,53000000,97600000,68300000,73700000,59100000,77800000,60600000,77700000,135000000,102000000,104000000,140000000,180000000,201000000,208000000,284000000,335000000,486000000,506000000,508000000,445000000,484000000,400000000,625000000,437000000,425000000,392000000,331000000,432000000,277000000,356000000,385000000,1000000000,558000000,786000000,504000000,386000000,607000000,692000000,545000000,397000000,432000000,410000000,455000000,325000000,523000000,578000000,561000000,551000000,421000000,442000000,635000000
India,5470000000,4790000000,4680000000,6650000000,8230000000,8510000000,8110000000,8740000000,5810000000,5410000000,4680000000,5360000000,3150000000,3500000000,4970000000,5690000000,5990000000,3170000000,3120000000,3290000000,4830000000,4530000000,3900000000,4380000000,4160000000,3940000000,3870000000,2790000000,3070000000,2750000000,1960000000,3510000000,3030000000,1860000000,2590000000,1820000000,2120000000,1980000000,1970000000,1700000000,1700000000,2270000000,2170000000,693000000,850000000,1930000000,1400000000,1210000000,1790000000,2270000000,2530000000,2800000000,1400000000,2210000000,2710000000,3270000000,2680000000,3200000000,2380000000
Indonesia,774000000,1050000000,1340000000,791000000,527000000,404000000,678000000,1820000000,2310000000,2140000000,2920000000,3390000000,2560000000,2620000000,2560000000,2400000000,2210000000,1540000000,1620000000,1740000000,2090000000,2190000000,2100000000,1720000000,1610000000,1450000000,1370000000,1790000000,2060000000,2400000000,2110000000,2200000000,2130000000,2040000000,1570000000,1180000000,992000000,892000000,1480000000,2240000000,1900000000,1800000000,1670000000,1900000000,222000000,2590000000,1370000000,767000000,1120000000,997000000,1250000000,403000000,166000000,41200000,-416000000,-63600000,-25100000,280000000,875000000
Iran,166000000,836000000,390000000,192000000,51300000,170000000,116000000,285000000,89400000,137000000,152000000,62500000,52400000,-14700000,36800000,5360000,-17400000,113000000,607000000,10300000,61100000,14800000,3210000,114000000,25800000,34600000,53200000,118000000,128000000,148000000,165000000,262000000,150000000,188000000,167000000,185000000,163000000,236000000,200000000,196000000,168000000,157000000,158000000,158000000,205000000,108000000,122000000,96200000,86600000,83700000,102000000,94100000,135000000,116000000,67900000,115000000,121000000,140000000,157000000
Iraq,10300000,5240000,15400000,33300000,78200000,77100000,26700000,24800000,16900000,29000000,50300000,93100000,116000000,61200000,17000000,393000000,69000000,238000000,179000000,65900000,26000000,602000000,9470000,16600000,-1710000,45500000,47700000,114000000,15600000,24200000,94200000,841000000,180000000,232000000,359000000,436000000,441000000,291000000,161000000,113000000,154000000,190000000,165000000,2950000000,5500000000,24900000000,10000000000,9620000000,9520000000,3080000000,2310000000,1900000000,1210000000,1460000000,1290000000,1530000000,2310000000,2910000000,2210000000
Israel,982000000,953000000,887000000,935000000,787000000,966000000,828000000,528000000,445000000,385000000,376000000,401000000,419000000,793000000,456000000,1680000000,2200000000,2560000000,2680000000,3280000000,2220000000,1800000000,1910000000,2870000000,2610000000,3940000000,3760000000,2360000000,2260000000,2090000000,2300000000,2750000000,3250000000,1980000000,1910000000,504000000,3290000000,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,90200000,104000000,22700000,26200000,69400000,67200000,60100000,109000000,86700000,59300000,95800000,84900000,69000000,87300000,71800000,66700000,76800000,329000000,283000000,244000000,318000000,366000000,378000000,366000000,352000000,344000000,297000000,314000000,425000000,403000000,229000000,183000000,161000000,174000000,145000000,73100000,96100000,27300000,-19900000,32900000,96200000,43800000,16200000,98600000,48800000,41600000,27400000,77700000,139000000,130000000,39300000,29400000,64200000,84700000,58300000,27900000,61400000,94200000
Jordan,620000000,638000000,561000000,559000000,509000000,455000000,487000000,347000000,299000000,304000000,479000000,333000000,521000000,904000000,1240000000,1740000000,1950000000,1390000000,1310000000,3540000000,3520000000,2870000000,2120000000,2010000000,1680000000,1460000000,1220000000,1110000000,762000000,544000000,1330000000,1190000000,533000000,418000000,445000000,593000000,583000000,582000000,551000000,568000000,741000000,636000000,781000000,1690000000,740000000,828000000,661000000,673000000,766000000,782000000,985000000,987000000,1160000000,1340000000,2610000000,2200000000,2780000000,2980000000,2430000000
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154000000,15700000,22300000,71900000,70000000,156000000,153000000,259000000,203000000,218000000,196000000,255000000,325000000,286000000,236000000,188000000,261000000,330000000,283000000,200000000,179000000,118000000,79000000,79800000,77600000,64300000,59500000,80600000
Kenya,193000000,550000000,411000000,469000000,466000000,539000000,392000000,266000000,436000000,390000000,373000000,404000000,389000000,440000000,483000000,440000000,535000000,505000000,676000000,826000000,861000000,1040000000,1150000000,944000000,1030000000,1060000000,900000000,954000000,1290000000,1670000000,1670000000,1210000000,1130000000,1190000000,837000000,791000000,691000000,567000000,535000000,389000000,679000000,674000000,529000000,636000000,726000000,817000000,1000000000,1320000000,1320000000,1790000000,1630000000,2330000000,2540000000,3100000000,2480000000,2490000000,2220000000,2480000000,2400000000
Kiribati,180000,2320000,2760000,3490000,2300000,3340000,4620000,10600000,10300000,10400000,15000000,15900000,24000000,31400000,26500000,22800000,16900000,23500000,31600000,24000000,39300000,32900000,33500000,38900000,28700000,30400000,27400000,30500000,24400000,27200000,27500000,26800000,32800000,21700000,21500000,19000000,17100000,21300000,25800000,27500000,24900000,21000000,31400000,23100000,18700000,29600000,28900000,28800000,26800000,26900000,22100000,53700000,53800000,56800000,73000000,68100000,63200000,77200000,73500000
Kuwait,,-1220000,-18300000,-7230000,-6110000,-8770000,-9580000,-9550000,80000,2180000,2090000,2880000,2990000,1780000,1500000,1190000,640000,1490000,2270000,2710000,21400000,22100000,14100000,12600000,11700000,10900000,9520000,5260000,7980000,7270000,18100000,16100000,8400000,2540000,5510000,4690000,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26900000,142000000,210000000,270000000,239000000,242000000,258000000,252000000,248000000,178000000,220000000,209000000,230000000,252000000,276000000,240000000,291000000,262000000,340000000,385000000,411000000,459000000,537000000,819000000,565000000,465000000,417000000
Lao,217000000,333000000,202000000,243000000,294000000,429000000,433000000,451000000,362000000,379000000,374000000,366000000,319000000,321000000,234000000,129000000,93600000,90900000,178000000,119000000,94000000,92000000,92700000,75300000,81300000,84500000,79500000,87900000,105000000,163000000,145000000,145000000,183000000,200000000,228000000,256000000,285000000,299000000,268000000,289000000,286000000,282000000,309000000,296000000,249000000,260000000,325000000,341000000,428000000,358000000,358000000,323000000,361000000,384000000,437000000,490000000,407000000,480000000,545000000
Lebanon,92600000,88400000,64200000,55900000,24500000,60300000,57400000,58300000,126000000,57600000,115000000,33500000,74400000,54700000,559000000,52000000,138000000,430000000,644000000,303000000,660000000,1060000000,453000000,304000000,184000000,198000000,126000000,177000000,237000000,199000000,410000000,175000000,145000000,193000000,301000000,223000000,288000000,344000000,456000000,262000000,293000000,287000000,283000000,648000000,296000000,253000000,862000000,957000000,981000000,557000000,423000000,432000000,698000000,561000000,741000000,969000000,1150000000,1300000000,1350000000
Lesotho,14300000,37000000,50800000,47900000,46700000,73600000,91200000,98300000,99900000,91700000,55900000,94600000,73100000,65400000,86300000,104000000,96900000,117000000,143000000,162000000,207000000,240000000,218000000,253000000,239000000,224000000,172000000,183000000,182000000,221000000,200000000,172000000,190000000,201000000,156000000,138000000,124000000,120000000,80600000,42100000,55200000,79700000,106000000,93400000,103000000,70800000,71900000,126000000,131000000,117000000,250000000,245000000,274000000,316000000,102000000,88400000,114000000,146000000,147000000
Liberia,66700000,205000000,661000000,287000000,108000000,240000000,247000000,157000000,93500000,91500000,67800000,62800000,60100000,45000000,58300000,71200000,90400000,101000000,129000000,196000000,223000000,252000000,247000000,267000000,291000000,199000000,187000000,134000000,105000000,96500000,166000000,229000000,159000000,169000000,88800000,149000000,206000000,102000000,100000000,129000000,95200000,56000000,76800000,133000000,251000000,251000000,283000000,1110000000,1190000000,492000000,1330000000,692000000,536000000,500000000,697000000,1120000000,835000000,631000000,552000000
Libya,304000000,276000000,235000000,186000000,140000000,58500000,14600000,20000000,45700000,51400000,28600000,19400000,40000000,67100000,57600000,5680000,32600000,25900000,17500000,9190000,29100000,10700000,252000000,12900000,12000000,13800000,23300000,10400000,8760000,16100000,11400000,10100000,4190000,3810000,5080000,6590000,4370000,5130000,7280000,6250000,,,,,,24900000,42800000,19000000,68200000,36900000,7740000,611000000,83800000,115000000,186000000,158000000,183000000,432000000,293000000
Madagascar,27100000,14200000,43100000,72400000,362000000,379000000,344000000,303000000,328000000,295000000,305000000,281000000,295000000,235000000,261000000,295000000,217000000,196000000,256000000,328000000,501000000,544000000,578000000,449000000,393000000,468000000,612000000,564000000,466000000,568000000,568000000,620000000,471000000,474000000,365000000,348000000,418000000,1110000000,644000000,470000000,449000000,543000000,523000000,661000000,1370000000,986000000,825000000,872000000,783000000,414000000,460000000,405000000,342000000,456000000,535000000,693000000,637000000,779000000,662000000
Malawi,38400000,73600000,100000000,140000000,264000000,259000000,233000000,217000000,334000000,198000000,237000000,186000000,195000000,145000000,179000000,230000000,224000000,260000000,279000000,343000000,309000000,312000000,285000000,273000000,450000000,282000000,382000000,455000000,588000000,671000000,709000000,762000000,758000000,666000000,573000000,514000000,584000000,442000000,566000000,582000000,604000000,592000000,521000000,618000000,548000000,607000000,731000000,725000000,840000000,744000000,960000000,727000000,1080000000,1030000000,850000000,1060000000,1260000000,1520000000,1220000000
Malaysia,119000000,162000000,162000000,91900000,132000000,169000000,215000000,170000000,195000000,223000000,175000000,260000000,275000000,203000000,274000000,362000000,223000000,225000000,195000000,287000000,290000000,327000000,310000000,407000000,714000000,535000000,398000000,522000000,169000000,191000000,582000000,342000000,222000000,163000000,96400000,112000000,-377000000,-217000000,216000000,144000000,61100000,39400000,110000000,117000000,282000000,32000000,243000000,214000000,143000000,125000000,5860000,40600000,18100000,-102000000,16700000,-4340000,-47900000,-29300000,-39600000
Maldives,260000,2300000,4100000,2500000,2270000,900000,13600000,2680000,2010000,1120000,1560000,5300000,3580000,2830000,2520000,11800000,10900000,11700000,20500000,15100000,46800000,28500000,12400000,23200000,12000000,19900000,30700000,25100000,32500000,39500000,21000000,35300000,38100000,34200000,31200000,55600000,29900000,28200000,30300000,33800000,23000000,29600000,28000000,19900000,29200000,75900000,36200000,32500000,49000000,25900000,77700000,43400000,50300000,18900000,20400000,25000000,22900000,43300000,114000000
Mali,640000,16900000,83400000,59800000,134000000,162000000,180000000,119000000,194000000,149000000,138000000,171000000,197000000,329000000,478000000,510000000,296000000,346000000,422000000,452000000,592000000,537000000,506000000,529000000,843000000,960000000,762000000,625000000,711000000,733000000,692000000,639000000,574000000,515000000,581000000,626000000,580000000,567000000,463000000,479000000,425000000,522000000,596000000,682000000,655000000,788000000,915000000,974000000,876000000,937000000,1050000000,1160000000,956000000,1270000000,1120000000,1230000000,1240000000,1360000000,1430000000
Malta,114000000,87300000,76000000,147000000,162000000,128000000,129000000,117000000,134000000,117000000,132000000,95300000,77800000,134000000,93800000,125000000,112000000,104000000,111000000,127000000,37400000,143000000,71600000,122000000,31000000,47300000,13900000,-2250000,-4400000,-8360000,7720000,30700000,5700000,46700000,65100000,13700000,94800000,32100000,31100000,36400000,34900000,2810000,16400000,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390000,5650000,43600000,68800000,45400000,94600000,74100000,57200000,79000000,64500000,90800000,73400000,67300000,61600000,66600000,65800000,61300000,59500000,66500000,23300000,89800000,84900000,95500000,57100000,59200000,12700000,72500000,52600000
Mauritania,330000,9870000,20700000,15000000,90500000,67500000,148000000,86300000,151000000,78900000,47300000,83600000,68700000,137000000,398000000,297000000,705000000,561000000,662000000,422000000,388000000,519000000,447000000,430000000,428000000,508000000,454000000,332000000,295000000,412000000,336000000,299000000,256000000,430000000,331000000,248000000,317000000,303000000,215000000,289000000,313000000,416000000,515000000,312000000,213000000,204000000,226000000,332000000,416000000,350000000,350000000,335000000,377000000,267000000,236000000,336000000,313000000,291000000,428000000
Mauritius,4760000,49000000,36700000,49100000,17400000,16500000,32000000,37400000,76900000,39600000,38600000,54000000,54200000,63600000,106000000,100000000,58700000,71700000,120000000,75800000,71100000,130000000,116000000,99900000,85800000,67100000,105000000,105000000,90800000,92500000,121000000,91000000,60000000,36400000,21300000,28300000,26100000,56200000,53000000,57200000,30500000,31100000,34900000,-17300000,35400000,35200000,19500000,63100000,92900000,138000000,114000000,160000000,162000000,128000000,37600000,80500000,43500000,11600000,63300000
Mexico,66800000,551000000,264000000,54800000,-95900000,315000000,220000000,252000000,174000000,128000000,194000000,106000000,114000000,59400000,90900000,77100000,70300000,55000000,42100000,158000000,143000000,251000000,340000000,341000000,219000000,344000000,485000000,294000000,275000000,179000000,251000000,389000000,416000000,596000000,523000000,358000000,301000000,135000000,59300000,74100000,-11300000,147000000,186000000,144000000,156000000,238000000,281000000,123000000,158000000,205000000,464000000,928000000,418000000,536000000,752000000,322000000,832000000,755000000,518000000
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630000,14200000,86900000,145000000,96400000,161000000,116000000,103000000,142000000,130000000,181000000,146000000,145000000,107000000,127000000,127000000,129000000,102000000,134000000,65800000,132000000,150000000,147000000,120000000,84400000,51400000,98000000,96300000
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87100000,54500000,145000000,174000000,169000000,197000000,149000000,138000000,187000000,239000000,260000000,273000000,232000000,448000000,410000000,442000000,324000000,479000000,322000000,269000000,242000000,223000000
Mongolia,,,,,,,,,,,,,,,,,11500000,10600000,9290000,8200000,5350000,5490000,5620000,4690000,5210000,12400000,12700000,7700000,5750000,9040000,18000000,81300000,117000000,117000000,170000000,136000000,166000000,214000000,202000000,198000000,210000000,235000000,233000000,247000000,236000000,206000000,191000000,209000000,221000000,300000000,276000000,302000000,410000000,405000000,295000000,246000000,324000000,764000000,321000000
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9870000,22500000,4200000,103000000,101000000,93600000,70900000,73400000,111000000,95300000,103000000,88100000,103000000,87500000,118000000,146000000
Morocco,388000000,739000000,554000000,650000000,690000000,720000000,627000000,414000000,599000000,499000000,497000000,716000000,497000000,404000000,454000000,902000000,841000000,1870000000,1140000000,1260000000,2550000000,2390000000,2000000000,1080000000,830000000,2090000000,839000000,717000000,773000000,808000000,1740000000,2110000000,1210000000,1060000000,879000000,589000000,759000000,616000000,702000000,908000000,617000000,721000000,517000000,689000000,833000000,782000000,1130000000,1140000000,1290000000,921000000,899000000,1270000000,1360000000,1830000000,1990000000,1560000000,2110000000,2420000000,771000000
Mozambique,150000,40600000,660000,1600000,-460000,,65800000,173000000,140000,410000,760000,1090000,1080000,720000,3080000,65700000,227000000,241000000,286000000,344000000,358000000,328000000,503000000,533000000,678000000,761000000,865000000,1180000000,1520000000,1330000000,1440000000,1520000000,1950000000,1700000000,1660000000,1310000000,1120000000,1290000000,1430000000,1120000000,1340000000,1420000000,3180000000,1290000000,1390000000,1390000000,1710000000,1700000000,1810000000,1910000000,1850000000,1870000000,1930000000,2150000000,1930000000,1850000000,1560000000,1810000000,1760000000
Myanmar,365000000,212000000,301000000,397000000,198000000,149000000,140000000,102000000,123000000,204000000,153000000,259000000,241000000,306000000,259000000,196000000,222000000,285000000,527000000,779000000,643000000,567000000,662000000,655000000,566000000,730000000,618000000,462000000,511000000,207000000,207000000,216000000,127000000,107000000,163000000,139000000,48400000,75000000,100000000,96500000,123000000,154000000,151000000,145000000,136000000,156000000,153000000,191000000,495000000,336000000,328000000,324000000,437000000,3530000000,1250000000,1190000000,1540000000,1540000000,1640000000
Namibia,,,,,,,,,,,,,90000,,,,,,,,,,,30000,,14000000,30300000,27900000,34300000,96300000,176000000,257000000,187000000,212000000,185000000,219000000,229000000,224000000,248000000,244000000,231000000,169000000,196000000,185000000,200000000,127000000,165000000,222000000,200000000,319000000,263000000,267000000,257000000,260000000,224000000,147000000,175000000,187000000,144000000
Nauru,,,,,,,,,,,,,,,,40000,,40000,,50000,80000,60000,50000,70000,70000,150000,110000,140000,350000,90000,290000,650000,640000,680000,15700000,4030000,4910000,4280000,4130000,8160000,5620000,16600000,24800000,27800000,20100000,12000000,22800000,28700000,33000000,25800000,25700000,29500000,28500000,24200000,20100000,33200000,23700000,25800000,31600000
Nepal,57000000,70600000,58900000,108000000,126000000,115000000,101000000,88500000,67700000,69600000,127000000,127000000,147000000,148000000,123000000,147000000,153000000,233000000,193000000,307000000,336000000,375000000,418000000,414000000,379000000,443000000,492000000,525000000,562000000,640000000,500000000,481000000,486000000,373000000,458000000,406000000,384000000,393000000,405000000,375000000,402000000,484000000,440000000,541000000,467000000,434000000,473000000,536000000,568000000,679000000,722000000,662000000,697000000,793000000,791000000,1230000000,1080000000,1270000000,1390000000
Nicaragua,54400000,60700000,47800000,49500000,59400000,58200000,75900000,66200000,63500000,86400000,114000000,73400000,53100000,119000000,119000000,96900000,90500000,75500000,85400000,204000000,429000000,232000000,239000000,240000000,280000000,271000000,304000000,256000000,365000000,399000000,501000000,1190000000,824000000,441000000,732000000,661000000,1020000000,471000000,691000000,804000000,699000000,1270000000,587000000,904000000,1220000000,719000000,662000000,707000000,612000000,627000000,478000000,472000000,485000000,444000000,392000000,468000000,442000000,563000000,338000000
Niger,380000,17700000,37300000,35300000,109000000,105000000,156000000,153000000,201000000,212000000,195000000,232000000,223000000,325000000,556000000,475000000,442000000,301000000,423000000,404000000,352000000,448000000,615000000,429000000,405000000,725000000,615000000,607000000,588000000,496000000,550000000,516000000,467000000,456000000,471000000,325000000,303000000,438000000,389000000,251000000,299000000,387000000,417000000,582000000,600000000,566000000,571000000,560000000,559000000,439000000,705000000,583000000,828000000,724000000,832000000,890000000,974000000,1220000000,1140000000
Nigeria,293000000,259000000,238000000,141000000,321000000,555000000,481000000,494000000,488000000,559000000,659000000,571000000,412000000,344000000,282000000,291000000,173000000,131000000,108000000,62000000,72500000,93600000,82800000,108000000,82700000,79800000,110000000,107000000,161000000,471000000,348000000,348000000,329000000,400000000,254000000,240000000,231000000,259000000,269000000,196000000,235000000,235000000,404000000,379000000,636000000,6430000000,11300000000,1870000000,1260000000,1620000000,2020000000,1690000000,1810000000,2360000000,2280000000,2430000000,2530000000,3360000000,3170000000
North Korea,,,,,,,,,,,,,,,,,,,137000000,,,,,,,13100000,10700000,27100000,14300000,13300000,11100000,12000000,13700000,18500000,7250000,15600000,32500000,126000000,148000000,285000000,116000000,188000000,371000000,167000000,190000000,98300000,59900000,104000000,221000000,65400000,75800000,102000000,85100000,91300000,129000000,141000000,133000000,133000000,117000000
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700000,140000000,89200000,126000000,126000000,137000000,370000000,372000000,369000000,392000000,330000000,300000000,249000000,214000000,196000000,185000000,181000000,175000000,170000000,136000000,177000000,188000000,216000000,171000000,150000000,164000000
Oman,2310000,2950000,3790000,3070000,33500000,14100000,4590000,6880000,400000,300000,480000,11400000,49600000,99800000,678000000,493000000,579000000,1140000000,166000000,588000000,489000000,576000000,319000000,166000000,253000000,180000000,202000000,78500000,9170000,37800000,97500000,17800000,53800000,176000000,213000000,82600000,97900000,129000000,734000000,65600000,102000000,7140000,105000000,77400000,110000000,20000000,54500000,211000000,69900000,140000000,-20500000,,,,,,,,
Pakistan,1660000000,1680000000,2540000000,3320000000,3450000000,3370000000,2470000000,3060000000,2440000000,1990000000,2400000000,2330000000,1540000000,1270000000,1850000000,2610000000,3460000000,1860000000,1740000000,1680000000,2570000000,1820000000,2010000000,1530000000,1470000000,1550000000,1540000000,1110000000,1800000000,1870000000,1290000000,1580000000,1080000000,1050000000,1390000000,466000000,715000000,849000000,948000000,752000000,637000000,2420000000,2570000000,1200000000,1450000000,1620000000,2190000000,1980000000,1000000000,2510000000,2900000000,3430000000,1880000000,2040000000,3340000000,3760000000,2980000000,2360000000,1310000000
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,304000000,206000000,90300000,48800000,124000000,34800000,41900000,41700000,37300000,30400000,23700000,26600000,43000000,24900000,44800000,37600000,28700000,24900000,12000000,33900000,23300000,14500000,17600000,22100000,82700000
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251000000,645000000,626000000,698000000,823000000,839000000,775000000,956000000,1460000000,1380000000,1290000000,1330000000,1120000000,1440000000,1660000000,2290000000,2770000000,2450000000,2240000000,1840000000,2460000000,2270000000,1910000000,2450000000,2150000000,2150000000
Panama,86600000,65200000,74200000,118000000,68600000,234000000,118000000,98400000,72200000,88600000,80600000,94800000,59700000,96900000,63300000,80100000,101000000,77700000,61300000,53000000,58600000,54900000,63400000,70500000,133000000,101000000,66500000,64700000,36500000,32000000,166000000,177000000,274000000,111000000,42200000,50600000,56000000,55900000,41500000,33200000,41200000,52800000,40700000,43600000,34500000,31300000,44800000,-90300000,34600000,61200000,108000000,89900000,47000000,9800000,-170000000,9380000,23500000,41800000,36500000
Papua New Guinea,80000,80000,,70000,,774000000,777000000,864000000,936000000,954000000,1140000000,1020000000,1220000000,910000000,1030000000,1150000000,848000000,906000000,934000000,839000000,840000000,777000000,760000000,831000000,785000000,737000000,705000000,722000000,696000000,595000000,641000000,588000000,698000000,533000000,524000000,561000000,546000000,534000000,656000000,377000000,509000000,432000000,422000000,384000000,384000000,359000000,357000000,366000000,338000000,446000000,476000000,493000000,550000000,562000000,519000000,624000000,556000000,533000000,777000000
Paraguay,84400000,69200000,18900000,55400000,53100000,61500000,59500000,79000000,60900000,80400000,78400000,83800000,75900000,64600000,90000000,59100000,76200000,96800000,74800000,57900000,66200000,96600000,167000000,100000000,95600000,77600000,87700000,82500000,81000000,117000000,76100000,165000000,77200000,105000000,83100000,109000000,72900000,97600000,77200000,88300000,89100000,87400000,84200000,76500000,41800000,66400000,73400000,121000000,131000000,149000000,112000000,80600000,105000000,121000000,58500000,61300000,91300000,143000000,155000000
Peru,-64900000,-107000000,46100000,60900000,132000000,402000000,283000000,292000000,206000000,198000000,260000000,212000000,197000000,357000000,269000000,233000000,254000000,284000000,356000000,451000000,413000000,477000000,378000000,578000000,629000000,690000000,528000000,509000000,459000000,508000000,577000000,836000000,539000000,743000000,457000000,464000000,403000000,540000000,656000000,555000000,490000000,599000000,638000000,619000000,545000000,521000000,505000000,361000000,442000000,429000000,-165000000,528000000,372000000,341000000,308000000,341000000,332000000,-5220000,422000000
Philippines,506000000,169000000,228000000,195000000,542000000,696000000,372000000,689000000,459000000,554000000,282000000,407000000,856000000,962000000,603000000,648000000,631000000,569000000,661000000,648000000,654000000,810000000,761000000,927000000,829000000,988000000,1530000000,1070000000,1030000000,1100000000,1550000000,1250000000,1900000000,1610000000,1080000000,903000000,928000000,739000000,742000000,743000000,658000000,701000000,687000000,783000000,507000000,624000000,642000000,651000000,88000000,369000000,573000000,-17900000,73000000,178000000,625000000,537000000,306000000,160000000,524000000
Qatar,,,,-140000,,,70000,70000,,250000,370000,560000,1010000,1330000,2040000,2710000,4210000,2590000,340000,380000,1120000,1870000,2000000,2510000,3320000,4470000,4160000,4290000,2650000,6840000,4020000,3780000,3580000,4860000,3730000,3940000,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,71600000,67800000,97600000,61400000,63400000,66100000,93300000,103000000,119000000,127000000,146000000,157000000,165000000,182000000,191000000,317000000,267000000,292000000,334000000,346000000,337000000,372000000,381000000,373000000,426000000,461000000,418000000,415000000,405000000,373000000,418000000,515000000,461000000,487000000,989000000,859000000,586000000,319000000,475000000,502000000,460000000,447000000,499000000,410000000,542000000,612000000,627000000,751000000,866000000,898000000,993000000,1160000000,827000000,1000000000,949000000,1090000000,1170000000,1230000000,1070000000
Samoa,,230000,660000,1220000,1470000,1570000,2960000,5040000,6480000,3450000,6000000,6350000,13900000,15100000,24300000,50400000,39500000,64000000,49200000,69700000,51900000,53100000,54500000,61100000,46200000,50600000,45800000,62000000,47100000,45900000,56700000,63000000,72300000,68200000,55000000,48100000,41100000,39500000,49300000,37900000,47000000,65000000,58300000,45000000,39700000,49600000,56100000,42000000,41000000,69600000,116000000,74100000,99100000,101000000,85400000,98400000,91300000,131000000,113000000
Sao Tome and Principe,850000,11400000,,,,,10600000,3650000,1350000,,,,,,,2950000,39700000,9530000,10800000,6910000,8430000,14000000,23800000,30200000,30000000,31500000,22700000,29200000,38900000,80600000,83900000,73800000,76200000,63000000,65800000,107000000,58900000,46200000,38800000,39500000,53300000,59900000,38400000,45800000,37100000,35000000,23900000,48600000,42300000,27400000,46000000,64600000,46600000,48500000,37300000,50700000,48100000,40200000,42300000
Saudi Arabia,52000000,-2660000,-65200000,-16300000,-2920000,2590000,2350000,3210000,3370000,8690000,8830000,10800000,11400000,12100000,14400000,10800000,6170000,20700000,16000000,24400000,27500000,58000000,108000000,93300000,79000000,63800000,52200000,34400000,26400000,20100000,18800000,17100000,51500000,31400000,17300000,15900000,13400000,3440000,19000000,23500000,23700000,16000000,20300000,15600000,21600000,24600000,23600000,-139000000,,,,,,,,,,,
Senegal,1030000,2090000,107000000,92000000,422000000,349000000,312000000,324000000,328000000,354000000,265000000,313000000,245000000,363000000,562000000,475000000,399000000,374000000,586000000,749000000,561000000,925000000,692000000,784000000,900000000,717000000,1170000000,1140000000,959000000,1130000000,1140000000,864000000,845000000,664000000,802000000,738000000,685000000,558000000,662000000,713000000,617000000,623000000,621000000,556000000,1160000000,752000000,904000000,826000000,967000000,949000000,883000000,937000000,992000000,921000000,1030000000,892000000,749000000,907000000,950000000
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67800000,113000000,79600000,129000000,152000000,1080000000,1770000000,2030000000,2850000000,1620000000,1320000000,1160000000,1660000000,822000000,880000000,573000000,623000000,1200000000,1010000000,687000000,324000000,323000000,651000000,1690000000,1020000000
Seychelles,10100000,8930000,4210000,5440000,7740000,12000000,6820000,16300000,19700000,9690000,27700000,48300000,49500000,42500000,40800000,30000000,31300000,40600000,47700000,59400000,43400000,36300000,41600000,36500000,37500000,59300000,58300000,41800000,32500000,32800000,52500000,31400000,26700000,27400000,17600000,13500000,23300000,22600000,32900000,17300000,33300000,18000000,79900000,11100000,11400000,18400000,14200000,6080000,6580000,19900000,49000000,19700000,31600000,24500000,10800000,6890000,5800000,16200000,
